Title,Ratings,Original_Price,Discounted_Price,Link
UNROLLDark Chocolate Croissants - Heat & Eat2.86 Ratings180 g - (2 pcs),NA,NA,₹159,https://bigbasket.in/pd/40296156/unroll-dark-chocolate-croissants-heat-eat-180-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=25&t_s=Dark+Chocolate+Croissants+-+Heat+%2526+Eat
EverydayStrawberry Cream Bun11 Rating50 g,NA,NA,₹15,https://bigbasket.in/pd/40306808/everyday-strawberry-cream-bun-50-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=26&t_s=Strawberry+Cream+Bun
SorrentinaPomodoro Focaccia200 g,NA,NA,NA,https://bigbasket.in/pd/40256284/sorrentina-pomodorro-focaccia-traditional-italian-bread-artisanal-ingredients-authentic-flavours-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=27&t_s=Pomodoro+Focaccia
BauliSpyroll 33 g + Savoriz - Soft Puff Roll With Cheese Jalapeno 52 gCombo - 2 Items,NA,₹35,₹32.6,https://bigbasket.in/pd/1216175/bauli-spyroll-33-g-savoriz-soft-puff-roll-with-cheese-jalapeno-52-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=28&t_s=Spyroll+33+g+%252B+Savoriz+-+Soft+Puff+Roll+With+Cheese+Jalapeno+52+g
KittySandwich Bread - Premium423 Ratings400 g,4,NA,₹40,https://bigbasket.in/pd/40088176/kitty-sandwich-bread-premium-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=23&t_s=Sandwich%2520Bread%2520-%2520Premium
BauliMoonfils Orange 45 g + Savoriz - Soft Puff Roll With Cheese Jalapeno 52 gCombo - 2 Items,NA,₹40,₹37.2,https://bigbasket.in/pd/1216177/bauli-moonfils-orange-45-g-savoriz-soft-puff-roll-with-cheese-jalapeno-52-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=29&t_s=Moonfils+Orange+45+g+%252B+Savoriz+-+Soft+Puff+Roll+With+Cheese+Jalapeno+52+g
BauliMoonfils - Choco Cream 45 g + Strawberry 45 g + Savoriz - Soft Puff Roll 52 gCombo - 3 Items,NA,₹60,₹55.8,https://bigbasket.in/pd/1216176/bauli-moonfils-choco-cream-45-g-strawberry-45-g-savoriz-soft-puff-roll-52-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=30&t_s=Moonfils+-+Choco+Cream+45+g+%252B+Strawberry+45+g+%252B+Savoriz+-+Soft+Puff+Roll+52+g
BauliMoonfils Veg - Choco 45 g + Strawberry 45 g + Savoriz - Soft Puff Roll 52 gCombo - 3 Items,NA,₹60,₹55.8,https://bigbasket.in/pd/1216174/bauli-moonfils-veg-choco-45-g-strawberry-45-g-savoriz-soft-puff-roll-52-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=31&t_s=Moonfils+Veg+-+Choco+45+g+%252B+Strawberry+45+g+%252B+Savoriz+-+Soft+Puff+Roll+52+g
BritanniaTreat Croissant Strawberry45 g,NA,NA,₹20,https://bigbasket.in/pd/40323563/britannia-treat-croissant-strawberry-45-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=32&t_s=Treat+Croissant+Strawberry
BritanniaTreat Croissant - Orange 45 g + Treat Croissant - Cocoa Creme Filling 45 gCombo - 2 Items,NA,₹40,₹38.4,https://bigbasket.in/pd/1223634/britannia-treat-croissant-orange-45-g-treat-croissant-cocoa-creme-filling-45-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=33&t_s=Treat+Croissant+-+Orange+45+g+%252B+Treat+Croissant+-+Cocoa+Creme+Filling+45+g
